label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62
OK,-0.0,0.0,0.0,-0.061495245,-0.6093538,0.0013107463,-0.25229317,-1.1886216,-0.056588624,-0.35190374,-1.65259,-0.11841489,-0.329687,-2.0184712,-0.16540447,-0.65186465,-1.0038655,-0.13161777,-1.0730579,-1.1509026,-0.18470338,-0.9129732,-1.0951852,-0.19195987,-0.73102117,-1.0181533,-0.18610546,-0.7498885,-0.64141345,-0.16203712,-1.0861335,-0.8303212,-0.14963888,-0.9374562,-0.80954546,-0.10384407,-0.7850564,-0.71667135,-0.09117735,-0.8033765,-0.29523095,-0.18392564,-1.0869787,-0.5064407,-0.14743939,-0.9574533,-0.48773593,-0.060883626,-0.8130785,-0.4012802,-0.02849798,-0.83738333,0.013071972,-0.20351885,-1.0709454,-0.21153156,-0.14919622,-0.9478914,-0.1998186,-0.048619065,-0.82733184,-0.11490977,0.011520376
OK,-0.0,0.0,0.0,-0.07295317,-0.6328875,-0.0061245123,-0.28340247,-1.2179148,-0.07482932,-0.3856646,-1.6932892,-0.14257845,-0.37181786,-2.0819583,-0.19458063,-0.6645013,-1.0029509,-0.18991886,-1.1307678,-1.1371864,-0.24507557,-0.97355837,-1.0808344,-0.24129954,-0.78064114,-1.0153264,-0.22705446,-0.75409466,-0.61947095,-0.21816725,-1.1440738,-0.7949815,-0.20522335,-0.9973847,-0.7799066,-0.14845784,-0.832014,-0.7049875,-0.1308654,-0.79919666,-0.25562444,-0.23364142,-1.1345998,-0.46050948,-0.19116911,-1.0060664,-0.44757834,-0.09123689,-0.8516871,-0.37420487,-0.05398448,-0.8236758,0.06496199,-0.24633437,-1.0965768,-0.15444432,-0.1865538,-0.97991407,-0.15239927,-0.07586896,-0.85330796,-0.08031865,-0.011261876
OK,-0.0,0.0,0.0,-0.074922025,-0.63240993,-0.005240741,-0.2871687,-1.2190069,-0.07652661,-0.3890249,-1.6976448,-0.14869893,-0.3777194,-2.0896568,-0.20576948,-0.6745585,-0.9964038,-0.1908078,-1.1425059,-1.129403,-0.2539096,-0.98970234,-1.0760092,-0.2571017,-0.7972132,-1.0090775,-0.24650875,-0.76067936,-0.6098665,-0.22232786,-1.158346,-0.78177637,-0.2143352,-1.0105491,-0.7730355,-0.15887348,-0.8435884,-0.6989433,-0.14176895,-0.80126506,-0.2405451,-0.24178533,-1.1513824,-0.44202814,-0.20336245,-1.0207644,-0.43568915,-0.10086446,-0.8642882,-0.36369082,-0.061011493,-0.82118946,0.08615362,-0.25862542,-1.1074339,-0.13041009,-0.19965805,-0.991721,-0.13205272,-0.08567631,-0.8633067,-0.06022429,-0.018431338
OK,-0.0,0.0,0.0,-0.069579944,-0.6357475,-0.0019155835,-0.28208277,-1.2230036,-0.0697325,-0.38190648,-1.6958938,-0.13845585,-0.3691955,-2.0845292,-0.19213505,-0.6588119,-1.0125145,-0.18974482,-1.1378515,-1.1273946,-0.25044227,-0.98466945,-1.0589712,-0.2503709,-0.78616595,-0.99786997,-0.2374312,-0.74462783,-0.6290292,-0.22327502,-1.144673,-0.78327733,-0.2099904,-0.99777895,-0.75821304,-0.1530958,-0.82747173,-0.6918869,-0.1359326,-0.78700876,-0.25709808,-0.24447033,-1.1355641,-0.44864032,-0.20184094,-1.003799,-0.42764544,-0.09974303,-0.84429914,-0.3603918,-0.061845694,-0.8078371,0.075299636,-0.26286754,-1.0808635,-0.13690527,-0.20309086,-0.9629584,-0.13041468,-0.08990668,-0.8360623,-0.05969793,-0.023791943
OK,-0.0,0.0,0.0,-0.07909844,-0.6314384,-0.01338902,-0.3002535,-1.2300252,-0.085824154,-0.3982372,-1.7073879,-0.15717788,-0.3818413,-2.0989196,-0.21273018,-0.6660965,-1.005162,-0.20623252,-1.1509236,-1.1230577,-0.27960357,-0.9944571,-1.0534856,-0.28805175,-0.7976773,-0.98980325,-0.27997053,-0.75197434,-0.6144362,-0.23875241,-1.1699793,-0.76760405,-0.2386135,-1.0174874,-0.7475272,-0.1829428,-0.8421339,-0.68208027,-0.16402863,-0.7951273,-0.2387934,-0.26064515,-1.1610557,-0.4228987,-0.23050964,-1.0239158,-0.4098148,-0.12522742,-0.85981613,-0.34507748,-0.08187272,-0.81326824,0.0964975,-0.28077447,-1.1061677,-0.107643776,-0.22936085,-0.9824323,-0.10365876,-0.114346065,-0.846602,-0.035621524,-0.045513008
OK,-0.0,0.0,0.0,-0.074595146,-0.62909186,-0.021077508,-0.2992576,-1.2276087,-0.09945631,-0.3964911,-1.7101592,-0.17655697,-0.378598,-2.1127067,-0.23830082,-0.6615875,-1.007926,-0.2132117,-1.1590748,-1.127791,-0.29524493,-1.002017,-1.0705267,-0.31099826,-0.80224246,-1.0070165,-0.3065387,-0.7460973,-0.6194791,-0.2440993,-1.1743833,-0.7828532,-0.25375718,-1.0209525,-0.76652664,-0.20464282,-0.8440916,-0.6945861,-0.18790051,-0.78975743,-0.2436771,-0.26533496,-1.1647074,-0.44482088,-0.24419676,-1.0242615,-0.42910868,-0.14186233,-0.85734403,-0.35498595,-0.09771491,-0.8100398,0.09075373,-0.28539044,-1.105746,-0.12886406,-0.24030763,-0.97968596,-0.11984432,-0.1277742,-0.84340256,-0.04070395,-0.059313077
OK,-0.0,0.0,0.0,-0.07986456,-0.62984705,-0.011355212,-0.30746195,-1.2339026,-0.08435338,-0.40199098,-1.7184107,-0.15715052,-0.38644072,-2.1176703,-0.21503727,-0.6610117,-1.0153257,-0.20562677,-1.1680582,-1.1260877,-0.2813995,-1.0174543,-1.0627942,-0.29422623,-0.8189671,-1.0012839,-0.2880576,-0.74334776,-0.6246439,-0.23927833,-1.1823035,-0.77493554,-0.2390079,-1.033297,-0.75646216,-0.18494655,-0.8509477,-0.69312,-0.16654675,-0.7854345,-0.24614607,-0.2622092,-1.1663884,-0.43710557,-0.22704226,-1.0333623,-0.42232946,-0.121367,-0.86584544,-0.35641637,-0.07835807,-0.8054799,0.091550805,-0.2835749,-1.1092378,-0.12392776,-0.22610216,-0.991589,-0.11985069,-0.10938313,-0.85539436,-0.048098136,-0.040179934
OK,-0.0,0.0,0.0,-0.08564439,-0.62318134,-0.00784707,-0.3157926,-1.2251227,-0.07961751,-0.4102237,-1.707906,-0.15280113,-0.3899589,-2.1023302,-0.2111469,-0.66848296,-1.0085763,-0.20573236,-1.1742965,-1.1247954,-0.2836027,-1.0158925,-1.062374,-0.2962446,-0.8185593,-1.0019811,-0.29026332,-0.7463587,-0.6196092,-0.2429675,-1.1844853,-0.7721177,-0.2430606,-1.0307882,-0.7509623,-0.18602972,-0.854129,-0.6852301,-0.16629648,-0.7830549,-0.2412501,-0.26968905,-1.1690422,-0.42903945,-0.23608561,-1.0296009,-0.41235927,-0.12604359,-0.8633233,-0.3474571,-0.080323845,-0.79817605,0.09971618,-0.29482308,-1.1086987,-0.10747043,-0.23694772,-0.9880701,-0.10417148,-0.11752229,-0.8515195,-0.037697528,-0.047064938
OK,-0.0,0.0,0.0,-0.09521108,-0.6338943,-0.020356026,-0.33425447,-1.2505683,-0.10224167,-0.423873,-1.7389363,-0.184253,-0.40085194,-2.1465683,-0.2505703,-0.6727508,-1.012952,-0.23248264,-1.2038153,-1.1214521,-0.32801667,-1.0418776,-1.0440593,-0.35084254,-0.8347962,-0.98211724,-0.3495833,-0.74194324,-0.61290395,-0.2717886,-1.2070222,-0.7470301,-0.28772852,-1.0480444,-0.7118919,-0.23495948,-0.85974807,-0.65102005,-0.21712424,-0.7733892,-0.22315426,-0.30209354,-1.1826719,-0.3965798,-0.28234553,-1.0366145,-0.36880353,-0.17047366,-0.8586266,-0.30491862,-0.12165179,-0.7824295,0.12924752,-0.33188236,-1.1134822,-0.06968486,-0.28487653,-0.98789346,-0.05962959,-0.16449358,-0.8416199,0.007900057,-0.09256938
OK,-0.0,0.0,0.0,-0.09840452,-0.6425444,-0.029167565,-0.3377034,-1.2687796,-0.11745032,-0.42806244,-1.7605726,-0.20332545,-0.40641966,-2.1730454,-0.27226245,-0.67116296,-1.0170541,-0.26118472,-1.2240813,-1.1274307,-0.36614576,-1.0572039,-1.0581908,-0.38913023,-0.84696335,-0.999217,-0.3864504,-0.7389395,-0.6032741,-0.30004787,-1.2312616,-0.7437959,-0.3248946,-1.06634,-0.7230743,-0.2674774,-0.87366235,-0.66525877,-0.24511304,-0.7681751,-0.20368181,-0.33012477,-1.2075429,-0.37980264,-0.31927106,-1.0542835,-0.36526555,-0.20019728,-0.8701163,-0.30337963,-0.14489624,-0.7730488,0.1557814,-0.36019138,-1.1238389,-0.04241144,-0.3197534,-0.99098843,-0.041186232,-0.1954533,-0.8374348,0.024551308,-0.11984091
